time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windspeed_10m_mean,windgusts_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,shortwave_radiation_sum,sunshine_duration,et0_fao_evapotranspiration,city,latitude,longitude
2020-01-01,18.5,10.4,14.0,16.4,9.9,12.5,0.0,0.0,0.0,11.5,5.4,20.2,92,40,66,10.57,25214.31,2.07,Cairo,30.06263,31.24967
2020-01-02,17.1,7.7,12.5,11.9,4.2,9.1,0.0,0.0,0.0,21.9,11.5,39.6,76,33,51,12.42,32523.04,2.8,Cairo,30.06263,31.24967
2020-01-03,16.0,7.4,11.8,9.5,4.0,7.2,0.0,0.0,0.0,28.2,20.9,49.0,90,28,58,13.01,33823.71,3.13,Cairo,30.06263,31.24967
2020-01-04,16.7,9.5,12.6,12.8,6.4,8.9,0.1,0.1,0.0,23.8,17.2,39.6,85,44,61,8.91,33350.6,2.49,Cairo,30.06263,31.24967
2020-01-05,17.4,7.0,12.1,13.0,3.0,8.1,0.0,0.0,0.0,20.4,16.0,37.1,72,37,54,13.04,33899.49,3.04,Cairo,30.06263,31.24967
2020-01-06,18.3,8.4,13.2,11.9,3.7,8.2,0.0,0.0,0.0,34.4,23.2,57.6,70,35,51,12.48,33941.09,3.73,Cairo,30.06263,31.24967
2020-01-07,16.4,10.6,13.0,10.0,6.4,8.1,0.1,0.1,0.0,33.4,22.1,56.2,70,35,50,11.93,33184.75,3.56,Cairo,30.06263,31.24967
2020-01-08,17.0,7.2,12.1,11.7,3.1,7.8,0.0,0.0,0.0,26.6,19.1,47.2,78,41,56,12.1,34031.37,3.03,Cairo,30.06263,31.24967
2020-01-09,15.8,8.8,12.0,11.1,5.5,8.6,3.5,3.5,0.0,23.9,15.8,43.2,91,46,65,9.53,24121.94,2.26,Cairo,30.06263,31.24967
2020-01-10,17.5,8.3,12.3,13.8,6.1,9.8,1.3,1.3,0.0,18.2,11.4,32.8,87,44,71,11.06,33875.81,2.12,Cairo,30.06263,31.24967
